epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,21763.9,1.13254,0.80549,0.00739,0.90792,0.8677,0.93235,0.64091,1.08462,0.48636,0.00884,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,22086.9,1.12729,0.79935,0.00735,0.91361,0.86257,0.93225,0.64258,1.08255,0.4873,0.00882,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,22408.4,1.12656,0.78859,0.00731,0.91709,0.86065,0.93228,0.64334,1.07751,0.48593,0.00874,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,22730.6,1.12086,0.786,0.00728,0.89959,0.87668,0.9324,0.6451,1.07241,0.48553,0.00867,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,23053.1,1.12137,0.79419,0.0073,0.89851,0.8763,0.93265,0.64573,1.06998,0.48319,0.00865,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,23372.5,1.12142,0.7963,0.00729,0.9076,0.8699,0.93339,0.64727,1.06653,0.4832,0.00863,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,23693.6,1.11291,0.78428,0.00719,0.90803,0.87296,0.93399,0.64893,1.06411,0.47974,0.0086,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,24016.8,1.11182,0.78567,0.00722,0.90348,0.8795,0.93498,0.64962,1.06295,0.47552,0.00859,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,24337.3,1.10947,0.776,0.00717,0.90884,0.8751,0.9349,0.64985,1.05962,0.47583,0.00855,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,24657.9,1.11111,0.77801,0.00715,0.90599,0.87784,0.9343,0.65058,1.05927,0.47434,0.00854,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,24982.5,1.10442,0.77231,0.00719,0.91496,0.87157,0.93506,0.65169,1.05921,0.4702,0.00856,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,25301.7,1.10396,0.76893,0.00719,0.91543,0.86972,0.93512,0.65226,1.05779,0.47131,0.00853,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,25624.4,1.10292,0.77293,0.0071,0.90508,0.87969,0.93512,0.65339,1.05512,0.47114,0.0085,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,25946.6,1.10311,0.7631,0.00708,0.9133,0.87151,0.9346,0.65311,1.05371,0.47237,0.00846,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,26268.7,1.09271,0.76536,0.00707,0.91664,0.87321,0.93515,0.65403,1.05115,0.4694,0.00843,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,26592.1,1.09459,0.76371,0.00702,0.91153,0.87574,0.93583,0.65422,1.04929,0.46956,0.0084,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,26915.6,1.09045,0.75629,0.007,0.91434,0.87635,0.9359,0.65459,1.04759,0.46745,0.00838,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,325.327,1.03916,0.6999,0.0066,0.91474,0.87483,0.93673,0.65539,1.04689,0.46778,0.00837,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,646.908,1.06803,0.72946,0.00685,0.91683,0.87496,0.9365,0.65582,1.04567,0.46662,0.00836,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,965.678,1.07678,0.74099,0.00692,0.91763,0.87553,0.93616,0.65592,1.0447,0.46711,0.00835,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,1281.68,1.07477,0.74021,0.00691,0.91151,0.87738,0.93638,0.65685,1.04427,0.46467,0.00834,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,1595.46,1.07158,0.74471,0.0069,0.91331,0.87795,0.93656,0.65746,1.04324,0.46281,0.00833,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,1909.95,1.07704,0.73964,0.00693,0.90918,0.88481,0.93704,0.65819,1.04379,0.46168,0.00834,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,2224.54,1.06814,0.74048,0.00691,0.90905,0.88535,0.93669,0.65821,1.04347,0.45949,0.00834,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,2538.39,1.06862,0.73266,0.00689,0.90622,0.88752,0.93745,0.65874,1.04221,0.46006,0.00832,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,2852.78,1.07031,0.73564,0.00686,0.90716,0.88773,0.93752,0.65924,1.04089,0.46043,0.00831,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,3166.11,1.07005,0.73896,0.00685,0.90929,0.88634,0.9379,0.65975,1.04004,0.45963,0.00829,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
