epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,8772.7,1.28513,0.98918,0.01466,0.87294,0.82805,0.8941,0.61508,1.15383,0.66427,0.01823,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,8891.32,1.27752,0.97268,0.01463,0.88522,0.82318,0.89734,0.61697,1.13915,0.66731,0.0179,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,9013.21,1.27673,0.9717,0.01488,0.88237,0.82228,0.89709,0.61571,1.1496,0.66741,0.01821,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,9135.64,1.27347,0.97632,0.01469,0.88624,0.81787,0.89456,0.6167,1.14119,0.66038,0.01796,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,9254.5,1.27442,0.94101,0.01453,0.89065,0.82848,0.90071,0.62131,1.1417,0.64418,0.01781,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,9375.11,1.2751,0.95659,0.01444,0.88426,0.83063,0.89853,0.62088,1.13548,0.64878,0.01786,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,9494.39,1.27494,0.96042,0.01474,0.887,0.8229,0.89523,0.61445,1.14127,0.65393,0.01801,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,9615,1.27441,0.95043,0.01469,0.88387,0.83029,0.89703,0.61737,1.14444,0.65233,0.01802,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,9734.29,1.26094,0.96262,0.01429,0.89605,0.82312,0.89833,0.61683,1.13978,0.65296,0.01792,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,9855.41,1.26005,0.95338,0.01441,0.89944,0.8323,0.90193,0.62262,1.13756,0.63539,0.01798,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,9973.47,1.26896,0.94961,0.01453,0.89914,0.81792,0.89866,0.62125,1.14114,0.6366,0.01798,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,10092.3,1.26529,0.94716,0.01441,0.88778,0.82887,0.90032,0.62086,1.13858,0.63742,0.0179,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,10211,1.25854,0.93154,0.01426,0.90246,0.82345,0.90033,0.6213,1.14439,0.62986,0.01803,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,10329.8,1.26492,0.93269,0.01436,0.8982,0.82781,0.9023,0.62162,1.14195,0.63199,0.0179,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,10448.5,1.26014,0.94309,0.01441,0.89414,0.82577,0.90293,0.62343,1.13258,0.63751,0.01778,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,10567.8,1.24967,0.93779,0.0144,0.89942,0.82484,0.89876,0.62361,1.13396,0.64667,0.01782,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,10687.7,1.25473,0.93407,0.0142,0.88776,0.82932,0.90093,0.6269,1.12104,0.64291,0.01755,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,10805.7,1.26135,0.94596,0.01427,0.89192,0.82795,0.90202,0.62531,1.12964,0.63185,0.01768,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,10923.2,1.25382,0.93641,0.01417,0.90317,0.82998,0.90262,0.62559,1.12593,0.6366,0.01754,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,11041.9,1.25967,0.93931,0.0141,0.89471,0.83075,0.90384,0.62601,1.12941,0.63936,0.01772,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,11160.9,1.24902,0.92227,0.01428,0.89686,0.83646,0.90704,0.62636,1.13394,0.62955,0.01776,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,11281.7,1.24578,0.91682,0.01425,0.89891,0.83934,0.90469,0.62718,1.12399,0.63573,0.01768,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,11401.7,1.24963,0.90896,0.01426,0.89388,0.84384,0.90623,0.63074,1.11844,0.62925,0.01744,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,11524.4,1.23659,0.91293,0.01406,0.90757,0.82977,0.90775,0.62829,1.12242,0.63369,0.01751,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
